epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,555.67,0.33358,0.99967,1,0.00566,0.000370086,0.000370086,0.000370086
2,1742.26,0.0805,0.999,1,0.00633,0.000667118,0.000667118,0.000667118
3,2455.1,0.06549,1,1,0.00225,0.000890824,0.000890824,0.000890824
4,3328.87,0.04791,0.99933,1,0.00393,0.000781033,0.000781033,0.000781033
5,4186.36,0.04617,0.99967,1,0.00162,0.000671044,0.000671044,0.000671044
6,4966.58,0.03659,1,1,0.00156,0.000561055,0.000561055,0.000561055
7,5355.87,0.03169,1,1,0.00136,0.000451066,0.000451066,0.000451066
8,6615.85,0.02929,1,1,0.00089,0.000341077,0.000341077,0.000341077
9,8430.43,0.02616,0.99967,1,0.00169,0.000231088,0.000231088,0.000231088
10,10190.4,0.03025,1,1,0.00121,0.000121099,0.000121099,0.000121099
